item_id,name,category_name,description,taxonomy_levels,search_key,images
d3943d53-0f56-4725-8b88-cf2be0e8ba1a,Linguiça Calabresa Aperitivo Prieto Embalagem 500g,"Carnes, Aves e Peixes",Embalagem 500g,"['MERCEARIA', 'OUTROS', 'OUTROS']","Linguiça Calabresa Aperitivo Prieto Embalagem 500g Carnes, Aves e Peixes Embalagem 500g MERCEARIA OUTROS OUTROS",['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202210190131_32usn8rck6.jpg']
d84ad79d-86ca-450c-9b78-885649f00afc,Coxinha da Asa de Frango,"Carnes, Aves e Peixes",Compra por peso,"['ALIMENTOS_PREPARADOS', 'PRATOS', 'CORTES_DE_AVES']","Coxinha da Asa de Frango Carnes, Aves e Peixes Compra por peso ALIMENTOS_PREPARADOS PRATOS CORTES_DE_AVES",['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202203101842_hqtck04wm1o.jpg']
e23c3716-87c8-45e2-aa53-8976f7747a7d,Desinfetante Perfumado Lavanda Pinho Sol Com 500ml,Limpeza,Embalagem 500ml,"['CASA_DECORACAO', 'LIMPEZA_CASA', 'PRODUTOS_LIMPEZA_CASA']",Desinfetante Perfumado Lavanda Pinho Sol Com 500ml Limpeza Embalagem 500ml CASA_DECORACAO LIMPEZA_CASA PRODUTOS_LIMPEZA_CASA,"['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202403181330_f2kt22bi9y.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202403181330_e768owbzhs9.jpeg']"
e9ba1ff2-f73e-407b-ac0f-39587a18cc50,Lápis Gráfite Bic Evolution Hexagonal com Borracha Embalagem 4 Un,Papelaria e Livros,Embalagem 4un,"['PAPELARIA_LIVRARIA', 'ESCREVER_COLORIR', 'OUTROS']",Lápis Gráfite Bic Evolution Hexagonal com Borracha Embalagem 4 Un Papelaria e Livros Embalagem 4un PAPELARIA_LIVRARIA ESCREVER_COLORIR OUTROS,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202303241055_6lagt7vrl5.jpg']
f09a9faa-b7ae-4869-8500-c17ff4c40174,Biscoito Morango e Cereais Nestlé Nesfit 160g,Biscoitos e Salgadinhos,Embalagem 160g,"['MERCEARIA', 'BISCOITOS_SNACKS', 'BISCOITOS']",Biscoito Morango e Cereais Nestlé Nesfit 160g Biscoitos e Salgadinhos Embalagem 160g MERCEARIA BISCOITOS_SNACKS BISCOITOS,"['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202402211044_evsumjvq82j.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202402211044_714lhfkv6cx.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202402211044_m8gajfb3u68.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202402211044_1sva6sba5qz.jpeg']"
f7cccd71-37fd-450f-bdd2-f5fb5a953b82,Manteiga Extra com Sal Tablete Carrefour 200g,Frios e Laticínios,Embalagem 200g,"['FRIOS_LATICINIOS', 'OUTROS', 'OUTROS']",Manteiga Extra com Sal Tablete Carrefour 200g Frios e Laticínios Embalagem 200g FRIOS_LATICINIOS OUTROS OUTROS,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202210200229_14eky6794sao.jpg']
dc189f61-cbd9-4fb7-9a5f-b0e90f51682e,McChicken Duplo,Sanduiches,"Composto por dois empanados com frango, maionese, alface americana e pão com gergelim","['ALIMENTOS_PREPARADOS', 'SANDUICHES', 'HAMBURGUERES']","McChicken Duplo Sanduiches Composto por dois empanados com frango, maionese, alface americana e pão com gergelim ALIMENTOS_PREPARADOS SANDUICHES HAMBURGUERES",['https://static.ifood-static.com.br/image/upload/t_low/pratos/d6e02636-b012-4bda-941a-7ea7e5dc5cc4/202501030412_mhv7hrxynqe.png']
bc229945-9a33-4961-bb0c-304cb9dfa920,Tábua de Calabresa e Carne + 1 Acompanhamento,Porções e Tábuas,"Carne em tiras (240g in natura) e calabresa fatiada (280g in natura) + 1 acompanhamento.
 Escolha seu acompanhamento preferido: fritas (280g in natura), mandioca (400g in natura) ou polenta (400g in natura)

Escolha também molho para acompanhar: barbecue (70g), ranch (70g) ou maionese c/ ervas (70g)","['ALIMENTOS_PREPARADOS', 'PRATOS', 'CORTES_BOVINOS']","Tábua de Calabresa e Carne + 1 Acompanhamento Porções e Tábuas Carne em tiras (240g in natura) e calabresa fatiada (280g in natura) + 1 acompanhamento.
 Escolha seu acompanhamento preferido: fritas (280g in natura), mandioca (400g in natura) ou polenta (400g in natura)

Escolha também molho para acompanhar: barbecue (70g), ranch (70g) ou maionese c/ ervas (70g) ALIMENTOS_PREPARADOS PRATOS CORTES_BOVINOS",['https://static.ifood-static.com.br/image/upload/t_low/pratos/a32ea2fc-6e9b-4ff7-85dd-2807bf431a2e/202111081151_DQ8G_i.jpg']
69fa9bec-03b6-4aa2-ac7a-1bbd9944f04c,"Refresco Limão sem Açúcar Del Valle Fresh Garrafa 1,5l",Bebidas,"Embalagem 1,5l","['BEBIDAS', 'REFRIGERANTES', 'REFRIGERANTE_LIMAO']","Refresco Limão sem Açúcar Del Valle Fresh Garrafa 1,5l Bebidas Embalagem 1,5l BEBIDAS REFRIGERANTES REFRIGERANTE_LIMAO",['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202307131037_skliv3rhpdk.jpg']
d02316bb-228d-4636-8039-14b6bbcc4ca3,Omelete de frios,Marmitas,"Marmitex: Omelete recheada (com Queijo mussarela, Presunto e Orégano), Arroz branquinho ""Broto legal"", Feijão carioquinha""Broto Legal"" farofa,Macarrão ao alho e óleo e abobrinha refogada.","['ALIMENTOS_PREPARADOS', 'PRATOS', 'OMELETES']","Omelete de frios Marmitas Marmitex: Omelete recheada (com Queijo mussarela, Presunto e Orégano), Arroz branquinho ""Broto legal"", Feijão carioquinha""Broto Legal"" farofa,Macarrão ao alho e óleo e abobrinha refogada. ALIMENTOS_PREPARADOS PRATOS OMELETES",['https://static.ifood-static.com.br/image/upload/t_low/pratos/d7933596-c0d5-49e3-a4ef-748eb1b15fd0/202008281414_Sbp0_i.jpg']
a0ed5d90-2784-4d7f-aae3-93053e303088,Big White Sauce,Lanches individuais,Pão de hambúrguer com gergelim delicioso molho da casa a base de parmesão com carne artesanal suculenta de 130g com requeijão e queijo mussarela derretido,"['ALIMENTOS_PREPARADOS', 'SANDUICHES', 'HAMBURGUERES']",Big White Sauce Lanches individuais Pão de hambúrguer com gergelim delicioso molho da casa a base de parmesão com carne artesanal suculenta de 130g com requeijão e queijo mussarela derretido ALIMENTOS_PREPARADOS SANDUICHES HAMBURGUERES,['https://static.ifood-static.com.br/image/upload/t_low/pratos/d7c72f02-8617-4bb4-b659-61a59d8c4703/202303171617_35T4_i.jpg']
8531137e-51be-405a-a90b-4457a7858bef,Bento Shimeji,Teppanyaki E Bento,"Arroz japonês, 200 gramas de shimeji, salada sunomono, 1 harumaki queijo, 1 harumaki legumes","['ALIMENTOS_PREPARADOS', 'PRATOS', 'OUTROS']","Bento Shimeji Teppanyaki E Bento Arroz japonês, 200 gramas de shimeji, salada sunomono, 1 harumaki queijo, 1 harumaki legumes ALIMENTOS_PREPARADOS PRATOS OUTROS",['https://static.ifood-static.com.br/image/upload/t_low/pratos/d8267c13-ef1f-42fb-8e60-83273cbd9e9c/202205122014_4M80_i.jpg']
67b9cb10-5130-4b5b-9813-ef1df87bb925,Copo Brigadeiro Dou e Morangos,Copos Da Felicidade,"Copo Brigadeiro Dou e Morangos
Prepare seu coração: Brigadeiro de Ninho e Brigadeiro de cacau 50%, mega cremosos, morangos frescos e o nosso brownie com a qualidade que vocês já conhecem!. Serve 1 pessoa
Copo de 250 ml

Tags 

#copodafelicidade #brigadeiro #brownie #Ninho #morango #fretegratis","['ALIMENTOS_PREPARADOS', 'SOBREMESAS', 'COPOS_FELICIDADE']","Copo Brigadeiro Dou e Morangos Copos Da Felicidade Copo Brigadeiro Dou e Morangos
Prepare seu coração: Brigadeiro de Ninho e Brigadeiro de cacau 50%, mega cremosos, morangos frescos e o nosso brownie com a qualidade que vocês já conhecem!. Serve 1 pessoa
Copo de 250 ml

Tags 

#copodafelicidade #brigadeiro #brownie #Ninho #morango #fretegratis ALIMENTOS_PREPARADOS SOBREMESAS COPOS_FELICIDADE",['https://static.ifood-static.com.br/image/upload/t_low/pratos/d874887d-ea0d-4e86-af5a-cd4cc98148f5/202503130607_6148_i.jpg']
d2aca66d-1e52-4666-b4a6-ec0f1420c93f,Mini enroladinho de frango com requeijaodeliciosa,Mini assado unidade,Enroladinho de frango com requeijão,"['ALIMENTOS_PREPARADOS', 'SALGADINHOS_APERITIVOS', 'ENROLADINHOS']",Mini enroladinho de frango com requeijaodeliciosa Mini assado unidade Enroladinho de frango com requeijão ALIMENTOS_PREPARADOS SALGADINHOS_APERITIVOS ENROLADINHOS,[]
89ae61d0-fc55-4cbc-a360-f8e1bab4b1ae,Coca cola tradicional 350ml,Bebidas lata,,"['BEBIDAS', 'REFRIGERANTES', 'REFRIGERANTE_COLA']",Coca cola tradicional 350ml Bebidas lata BEBIDAS REFRIGERANTES REFRIGERANTE_COLA,['https://static.ifood-static.com.br/image/upload/t_low/pratos/d8f476c7-9735-4ce4-b2e5-dfc7b57a0c6d/202004132048_QA2Y_c.jpg']
e9d4d659-d7fa-3730-8922-ae2d9ee80a59,MÉDIA 2 SABORES (8 PEDAÇOS),Pizza Salgada 8 Pedaços,,"['ALIMENTOS_PREPARADOS', 'PIZZAS', 'PIZZAS']",MÉDIA 2 SABORES (8 PEDAÇOS) Pizza Salgada 8 Pedaços ALIMENTOS_PREPARADOS PIZZAS PIZZAS,[]
09bd5a72-57d4-495e-b77e-c914a1d1d842,Copo 770ml,Açai,Escolha 1 a 5 adicionais da sua preferencia sem custo.,"['ALIMENTOS_PREPARADOS', 'SORVETES_ACAIS_FRUTAS', 'ACAIS']",Copo 770ml Açai Escolha 1 a 5 adicionais da sua preferencia sem custo. ALIMENTOS_PREPARADOS SORVETES_ACAIS_FRUTAS ACAIS,['https://static.ifood-static.com.br/image/upload/t_low/pratos/d9698212-9162-486e-ae21-38540a1705dc/202002171823_ppj2_c.jpg']
59697abc-d364-4f4a-95cd-e317fc84301f,Coca-Cola Original 350ml,Refrigerantes,Lata 350ml,"['BEBIDAS', 'REFRIGERANTES', 'REFRIGERANTE_COLA']",Coca-Cola Original 350ml Refrigerantes Lata 350ml BEBIDAS REFRIGERANTES REFRIGERANTE_COLA,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202210190340_0zsv41vq6o7i.jpg']
ff4ad960-3d32-4615-aaf0-d85cef593bb2,Pizzas Doce 20cm (4 fatias) 2 Sabores,Pizzas com 2 Sabores da sua Escolha!,Seja o engenheiro e escolha seus sabores preferidos para se deliciar com nossas Pizzas Doce super Saborosas !!,"['ALIMENTOS_PREPARADOS', 'PIZZAS', 'PIZZAS']",Pizzas Doce 20cm (4 fatias) 2 Sabores Pizzas com 2 Sabores da sua Escolha! Seja o engenheiro e escolha seus sabores preferidos para se deliciar com nossas Pizzas Doce super Saborosas !! ALIMENTOS_PREPARADOS PIZZAS PIZZAS,['https://static.ifood-static.com.br/image/upload/t_low/pratos/73048796-7d9a-43ab-affa-fb826a934c60/202104281550_U7I7_.jpeg']
58141193-51d1-4a91-9e33-b7693da941b3,Pizza Promo. Brócolis c/ Catupiry e Bacon,Pizzas Promocionais!,"Pizza de 8 pedaços com base de molho de tomate caseiro, pedaços de brócolis  coberto com requeijão cremoso e bacon!","['ALIMENTOS_PREPARADOS', 'PIZZAS', 'PIZZAS']","Pizza Promo. Brócolis c/ Catupiry e Bacon Pizzas Promocionais! Pizza de 8 pedaços com base de molho de tomate caseiro, pedaços de brócolis  coberto com requeijão cremoso e bacon! ALIMENTOS_PREPARADOS PIZZAS PIZZAS",['https://static.ifood-static.com.br/image/upload/t_low/pratos/8b7471fb-d385-45fa-a86e-d0a6281f20e9/202209081919_8J3W_i.jpg']
a8af855a-578a-4c66-8584-8775f845292d,Coca Cola Descartável,Não vendemos só refri,"2,5 litros","['BEBIDAS', 'REFRIGERANTES', 'REFRIGERANTE_COLA']","Coca Cola Descartável Não vendemos só refri 2,5 litros BEBIDAS REFRIGERANTES REFRIGERANTE_COLA",['https://static.ifood-static.com.br/image/upload/t_low/pratos/da551d1e-c004-45ac-a340-d4a489b07940/202411031419_G510_.jpeg']
96ac5b40-61dc-4c0d-8d0c-c407ea047b27,Marmita P Tilápia grelhada c/ Mix de Legumes,**Exclusivos da Casa**,"Tamanho P
acompanha: arroz, feijão, farofa e legumes
**Imagem Ilusatrativa***","['ALIMENTOS_PREPARADOS', 'PRATOS', 'PEIXES_FRUTOS_DO_MAR']","Marmita P Tilápia grelhada c/ Mix de Legumes **Exclusivos da Casa** Tamanho P
acompanha: arroz, feijão, farofa e legumes
**Imagem Ilusatrativa*** ALIMENTOS_PREPARADOS PRATOS PEIXES_FRUTOS_DO_MAR",['https://static.ifood-static.com.br/image/upload/t_low/pratos/da83c48d-0587-45fa-99bf-93212e9f8cd4/202402210934_0S81_i.jpg']
78a01d9e-8e8a-4ae6-8d74-b1f2c171393f,Unicórnio - 500ml,Sorvete de Massa - 500ml,"Sorvete que lembra a infância! Dois sabores de massa: Céu Azul e Chiclete, recheado com Trufa de Leitinho. Delicioso, colorido e divertido!","['ALIMENTOS_PREPARADOS', 'SORVETES_ACAIS_FRUTAS', 'SORVETES']","Unicórnio - 500ml Sorvete de Massa - 500ml Sorvete que lembra a infância! Dois sabores de massa: Céu Azul e Chiclete, recheado com Trufa de Leitinho. Delicioso, colorido e divertido! ALIMENTOS_PREPARADOS SORVETES_ACAIS_FRUTAS SORVETES",['https://static.ifood-static.com.br/image/upload/t_low/pratos/daa6d0a1-d427-4359-88de-5fd6c0fcbd83/202406301218_10O7_i.jpg']
16c5b3d3-7879-4dd1-9763-f97ae53cc523,Tablete ao Leite Chocoarte Gratidão 40g,Lembranças,"Chocoarte decorado artesanalmente com a palavra ""gratidão"". Ótima opção para presentear ou compor cestas!","['BOMBONIERE', 'CHOCOLATES', 'BARRAS']","Tablete ao Leite Chocoarte Gratidão 40g Lembranças Chocoarte decorado artesanalmente com a palavra ""gratidão"". Ótima opção para presentear ou compor cestas! BOMBONIERE CHOCOLATES BARRAS",['https://static.ifood-static.com.br/image/upload/t_low/pratos/f728fa97-5c35-4ee6-a8a4-42e1554899db/202303221105_FDJ2_i.jpg']
da91c3bc-6898-4e3e-8b6f-0c503e918830,Ovo de Páscoa ao Leite Meninas Superpoderosas Pelúcia Lindinha 170g,Páscoa Infantil,Ovo de chocolate ao leite com drageados crocantes e pelúcia exclusiva da Lindinha. A Páscoa mais doce e divertida para os fãs das Meninas Superpoderosas!,"['BOMBONIERE', 'CHOCOLATES', 'OVOS_DE_PASCOA']",Ovo de Páscoa ao Leite Meninas Superpoderosas Pelúcia Lindinha 170g Páscoa Infantil Ovo de chocolate ao leite com drageados crocantes e pelúcia exclusiva da Lindinha. A Páscoa mais doce e divertida para os fãs das Meninas Superpoderosas! BOMBONIERE CHOCOLATES OVOS_DE_PASCOA,['https://static.ifood-static.com.br/image/upload/t_low/pratos/6c1e52a1-fc1a-49ce-987b-e8dc0bb72b65/202501291755_CW88_i.jpg']
c7a6f4e9-f7f4-4d4f-aa5b-1780851e2140,Sprite 350 ml,Refrigerantes lata,,"['BEBIDAS', 'REFRIGERANTES', 'REFRIGERANTE_LIMAO']",Sprite 350 ml Refrigerantes lata BEBIDAS REFRIGERANTES REFRIGERANTE_LIMAO,['https://static.ifood-static.com.br/image/upload/t_low/pratos/daf68952-976e-407e-9195-40ca241ac2f8/202101082206_uAcc_.jpeg']
c7fcad64-2a8f-41f1-90ba-7ab7880215bd,Bolo de Pote Nutellino,Bolo de Pote da Vó,"Bolo de Pote caseiro, feito com duas camadas de bolo de leite, com recheio e cobertura deliciosa de creme nutellino. Imagem meramente ilustrativa.","['ALIMENTOS_PREPARADOS', 'BOLOS_TORTAS_FONDUES', 'BOLOS']","Bolo de Pote Nutellino Bolo de Pote da Vó Bolo de Pote caseiro, feito com duas camadas de bolo de leite, com recheio e cobertura deliciosa de creme nutellino. Imagem meramente ilustrativa. ALIMENTOS_PREPARADOS BOLOS_TORTAS_FONDUES BOLOS",['https://static.ifood-static.com.br/image/upload/t_low/pratos/0218a620-0e9a-4641-b4f9-72c236dcb5bb/202501141621_4T03_i.jpg']
